CPU_Load,Memory_Usage,Disk_Usage,Network_IO,Server_Load,Power_Consumption,Temperature,Num_of_Running_Processes,Storage_Capacity,Server_Uptime,Status,Server_ID,Server_Dependency
43.64965533,39.6707752,59.86542559,88.54807848,55.70905309,57.69077812,54.932894,57,49.43562365,51.55199568,55.91909218,Server_501,Server_396
44.39696603,70.40053066,27.61448728,53.23006721,52.08463511,57.82389369,53.61292212,67,58.81716521,68.01550283,33.07499622,Server_3366,Server_3807
46.5460455,30.16198879,33.32354014,93.85163448,42.82014597,53.27175216,59.22455813,57,75.78207681,58.4550834,35.45867268,Server_42,Server_2537
62.71831622,40.59087512,48.47143005,77.34201024,45.17397371,58.93915982,48.9421696,55,44.91286789,56.43207962,59.92473113,Server_1860,Server_1844
59.94021958,56.55153702,52.46839561,53.21216421,57.43606113,22.85701057,31.5359423,41,55.07646633,46.19005329,50.0924887,Server_187,Server_1278
31.43313089,12.18114152,40.95387698,52.41568354,68.59240994,51.93611473,53.25080529,34,37.3832467,46.69601693,27.59839808,Server_32,Server_1069
41.2030907,50.98832505,46.82719417,47.95782251,48.17729858,45.21749364,48.45828949,54,64.8723,38.97952286,39.71639548,Server_1411,Server_4367
52.56718676,57.73809569,46.21228777,63.5989968,58.7455528,45.27832148,67.24465258,21,64.25772942,67.33879053,48.09354018,Server_856,Server_1785
32.464744,53.54663864,60.67033107,48.89072552,36.04981742,67.04031275,24.81957724,53,69.87211958,54.16995026,51.72996225,Server_943,Server_731
63.01928909,25.74008496,30.24511407,44.53546764,51.75680041,62.52040398,36.39452229,64,51.72013605,45.30862657,44.75421897,Server_4672,Server_2080
63.4399374,48.49640454,27.03886796,64.2182758,59.96269441,65.03244551,43.72331277,36,79.03447534,33.45079488,46.23854208,Server_259,Server_3507
40.61264252,30.97071643,48.74782265,49.62431384,67.49374714,52.64103896,48.31629995,53,26.4398016,62.38357443,41.45801058,Server_4462,Server_243
53.34999118,47.60906368,64.09363966,61.56517006,35.16668853,37.55929761,66.9465841,31,76.57836552,60.99540006,58.82999516,Server_2475,Server_2901
51.53914645,29.21657269,64.36208045,62.8960095,47.32085115,45.80769661,39.90527,40,55.35071687,43.67850679,58.89738756,Server_3649,Server_1667
53.74872846,47.6422971,57.1587699,40.39623889,75.45683906,46.20784701,43.74334004,47,75.54441811,65.45712954,55.87265303,Server_1446,Server_2315
44.50804767,31.72377702,37.61192914,53.73584158,32.79949757,56.82868744,53.55925623,14,37.5282534,75.61154898,36.99457537,Server_4689,Server_4
50.36144892,41.27010494,50.21757935,65.07388618,21.90201213,47.20007274,62.95553527,44,50.311775,50.13126964,48.75642603,Server_2108,Server_2623
57.39954383,52.45845181,51.73655516,38.00225327,43.24052594,65.21828175,29.44530598,54,55.37065453,57.73416673,60.43132777,Server_1967,Server_1158
61.50028077,55.03786825,53.94221195,43.95206958,54.2195199,37.68691477,61.76491583,33,52.86074784,36.70494806,56.51740934,Server_4449,Server_2094
59.01657162,44.97015969,43.75760239,54.80049013,24.16558354,60.16653917,19.2864149,32,67.68311562,47.63497802,53.7218969,Server_1969,Server_2595
70.29803815,28.84292216,58.91071419,37.91697831,66.98071843,49.68010606,37.05353029,35,36.98752757,57.09519476,67.5224179,Server_4454,Server_788
28.82018961,46.1825454,35.11253578,56.48789933,75.668003,41.61873696,61.62698026,40,74.93606291,53.00975545,21.32328978,Server_368,Server_4162
60.20573102,26.23449449,18.58172496,39.35461197,46.03319278,49.42857127,69.6153462,86,76.02299772,56.36144042,29.60350402,Server_2049,Server_2518
35.59245338,58.12160277,40.17287626,62.19289973,41.86021108,41.00697265,34.13124621,35,48.65268698,53.48371302,30.63334849,Server_3029,Server_740
46.52000774,44.76224651,53.06807714,11.8987101,60.1405914,40.27673974,41.49386702,66,26.06070636,39.04726077,44.48222686,Server_1994,Server_4641
62.42283418,53.48064517,59.82296509,42.96197141,42.29169704,59.96912511,37.99047006,43,44.90024965,67.4743736,68.56175938,Server_2236,Server_4129
64.44755238,33.87839581,53.05139254,34.21291925,68.2663021,54.80805126,43.62299034,48,60.51435865,67.24072509,61.12133377,Server_2739,Server_26
53.03760334,48.5378572,43.51426507,58.96767152,50.28553326,57.43373244,28.75698628,54,55.21367149,67.1720883,49.20016499,Server_3064,Server_4684
52.74173065,51.19678034,53.83935973,65.74012863,40.45239468,49.69351815,46.56333669,57,46.04900794,53.07157335,54.88050039,Server_1326,Server_2098
60.41298983,63.0895155,50.40684987,7.191854526,34.34479815,66.43320369,51.47015132,44,22.54984209,46.92585987,61.45745238,Server_4476,Server_3366
37.02805855,10.64287053,44.47058064,58.11978806,63.83837942,40.60785556,58.98699474,44,57.46011026,29.55803984,30.51243205,Server_695,Server_603
41.57145979,68.58608101,39.12030127,65.12483681,37.48288182,41.72290772,28.91029792,67,58.46542209,17.0248134,35.09416123,Server_658,Server_2672
40.16286519,59.59762468,33.27726457,62.60716933,56.13542187,50.71883356,39.9984569,45,42.29339038,39.56741913,31.69624813,Server_1893,Server_2351
48.60533036,25.7945002,43.84217071,80.54339791,56.07292893,43.56336573,40.03511592,73,33.88157168,83.45238705,40.84002072,Server_3203,Server_3162
43.91991048,39.0811811,43.74667705,38.04895439,56.46629555,50.33967002,39.07313119,46,52.4457159,24.46916947,39.38074307,Server_1924,Server_4671
52.54825463,59.00975435,69.75709197,55.71934005,44.30561893,62.35677166,44.47564291,38,56.80352701,60.21230797,71.363232,Server_157,Server_4431
50.23216841,25.98339204,45.40633545,46.35340412,53.48297043,45.65081051,38.21519548,51,68.25225959,56.95975797,42.55853625,Server_4398,Server_4780
41.56157226,76.04355473,26.5290828,57.13472345,43.41388542,57.70216673,48.76748329,74,53.06656044,38.22521634,30.91463243,Server_2857,Server_2769
60.0410587,30.60724591,39.96171836,46.84472443,63.13271438,47.76385319,21.41632915,59,11.46436702,61.8235071,45.9492486,Server_4799,Server_2386
47.63114902,43.09900163,49.05833089,39.63488388,46.07910844,75.01746347,53.6169674,54,71.17581756,54.4546981,54.27665858,Server_4756,Server_889
32.06126767,46.5906624,43.96390853,68.27036494,32.27128859,48.06349083,49.58838525,46,67.88460765,67.37120116,32.67433576,Server_373,Server_4074
53.61113976,33.6758369,72.4863428,60.29205761,53.66727329,42.47628613,51.54735856,37,63.95276251,36.67106537,65.77783465,Server_1258,Server_565
63.62022845,41.14034658,76.42421552,24.41818905,47.40836801,29.09535318,51.12454442,64,59.11853721,80.97733046,70.43121455,Server_1799,Server_1141
57.70702833,35.08922549,61.03853981,31.78169936,43.31858462,22.04152999,40.45282207,41,77.34600895,37.42462558,52.19194235,Server_3833,Server_1142
35.28783801,49.18848236,52.80105426,55.51400274,49.38617609,30.54148898,30.85630466,51,60.027615,51.01704874,35.76251445,Server_2912,Server_4409
49.67622392,56.49971741,60.92081559,44.7676156,19.67910485,47.32177139,47.56635323,68,29.03872426,36.01065616,57.04997157,Server_2641,Server_3619
45.65796506,56.36274852,33.92710382,64.72512275,50.33103972,67.4973742,33.05617895,83,61.27616751,42.9288105,41.07069934,Server_3228,Server_3072
44.45065349,62.64435667,48.32317999,65.70395306,33.01245126,47.00498523,50.30592824,50,77.05620256,52.83560849,45.29694252,Server_3940,Server_80
46.67643582,58.69029316,42.93878972,59.03453406,51.75426522,57.63012669,39.99634608,34,59.13610044,46.16550463,45.48218742,Server_3392,Server_1995
42.25624665,39.71032732,26.40223014,62.2260825,44.63273132,47.90500017,50.2796323,76,64.68876326,58.42780027,25.16080316,Server_869,Server_613
75.35145465,30.05218767,22.12599005,38.93880961,23.78982172,53.34966615,37.39755824,41,55.73056483,59.76469368,43.90134583,Server_1999,Server_3825
30.89058587,42.23110619,24.88067069,73.61549194,39.4131247,73.47003082,71.45208922,66,51.38139924,40.4190626,25.21837557,Server_3298,Server_2067
